	1	1
0	0	1
1	Mary	F
2	Anna	F
3	Emma	F
4	Elizabeth	F
5	Minnie	F
6	Margaret	F
7	Ida	F
8	Alice	F
9	Bertha	F
10	Sarah	F
11	John	M
12	William	M
13	James	M
14	Charles	M
15	George	M
16	Frank	M
17	Joseph	M
18	Thomas	M
19	Henry	M
20	Robert	M
21	Mary	F
22	Anna	F
23	Emma	F
24	Elizabeth	F
25	Margaret	F
26	Minnie	F
27	Ida	F
28	Annie	F
29	Bertha	F
30	Alice	F
31	John	M
32	William	M
33	James	M
34	George	M
35	Charles	M
36	Frank	M
37	Joseph	M
38	Henry	M
39	Thomas	M
40	Edward	M
41	Mary	F
42	Anna	F
43	Emma	F
44	Elizabeth	F
45	Minnie	F
46	Margaret	F
47	Ida	F
48	Alice	F
49	Bertha	F
50	Annie	F
51	John	M
52	William	M
53	James	M
54	George	M
55	Charles	M
56	Frank	M
57	Joseph	M
58	Thomas	M
59	Henry	M
60	Robert	M
61	Mary	F
62	Anna	F
63	Emma	F
64	Elizabeth	F
65	Minnie	F
66	Margaret	F
67	Bertha	F
68	Ida	F
69	Annie	F
70	Clara	F
71	John	M
72	William	M
73	James	M
74	Charles	M
75	George	M
76	Frank	M
77	Joseph	M
78	Henry	M
79	Robert	M
80	Thomas	M
81	Mary	F
82	Anna	F
83	Emma	F
84	Elizabeth	F
85	Minnie	F
86	Margaret	F
87	Ida	F
88	Clara	F
89	Bertha	F
90	Annie	F
91	John	M
92	William	M
93	James	M
94	George	M
95	Charles	M
96	Frank	M
97	Joseph	M
98	Thomas	M
99	Henry	M
100	Robert	M
101	Mary	F
102	Anna	F
103	Emma	F
104	Elizabeth	F
105	Margaret	F
106	Minnie	F
107	Clara	F
108	Bertha	F
109	Ida	F
110	Annie	F
111	John	M
112	William	M
113	James	M
114	George	M
115	Charles	M
116	Frank	M
117	Joseph	M
118	Henry	M
119	Robert	M
120	Thomas	M
121	Mary	F
122	Anna	F
123	Emma	F
124	Elizabeth	F
125	Minnie	F
126	Margaret	F
127	Ida	F
128	Bertha	F
129	Clara	F
130	Florence	F
131	John	M
132	William	M
133	James	M
134	George	M
135	Charles	M
136	Frank	M
137	Joseph	M
138	Robert	M
139	Henry	M
140	Thomas	M
141	Mary	F
142	Anna	F
143	Elizabeth	F
144	Emma	F
145	Margaret	F
146	Minnie	F
147	Bertha	F
148	Clara	F
149	Florence	F
150	Ida	F
151	John	M
152	William	M
153	James	M
154	George	M
155	Charles	M
156	Frank	M
157	Joseph	M
158	Henry	M
159	Thomas	M
160	Edward	M
161	Mary	F
162	Anna	F
