	1
0	F
1	F
2	F
3	F
4	F
5	F
6	F
7	F
8	F
9	F
10	M
11	M
12	M
13	M
14	M
15	M
16	M
17	M
18	M
19	M
20	F
21	F
22	F
23	F
24	F
25	F
26	F
27	F
28	F
29	F
30	M
31	M
32	M
33	M
34	M
35	M
36	M
37	M
38	M
39	M
40	F
41	F
42	F
43	F
44	F
45	F
46	F
47	F
48	F
49	F
50	M
51	M
52	M
53	M
54	M
55	M
56	M
57	M
58	M
59	M
60	F
61	F
62	F
63	F
64	F
65	F
66	F
67	F
68	F
69	F
70	M
71	M
72	M
73	M
74	M
75	M
76	M
77	M
78	M
79	M
80	F
81	F
82	F
83	F
84	F
85	F
86	F
87	F
88	F
89	F
90	M
91	M
92	M
93	M
94	M
95	M
96	M
97	M
98	M
99	M
100	F
101	F
102	F
103	F
104	F
105	F
106	F
107	F
108	F
109	F
110	M
111	M
112	M
113	M
114	M
115	M
116	M
117	M
118	M
119	M
120	F
121	F
122	F
123	F
124	F
125	F
126	F
127	F
128	F
129	F
130	M
131	M
132	M
133	M
134	M
135	M
136	M
137	M
138	M
139	M
140	F
141	F
142	F
143	F
144	F
145	F
146	F
147	F
148	F
149	F
150	M
151	M
152	M
153	M
154	M
155	M
156	M
157	M
158	M
159	M
160	F
161	F
162	F
163	F
164	F
165	F
166	F
167	F
168	F
169	F
170	M
171	M
172	M
173	M
174	M
175	M
176	M
177	M
178	M
179	M
180	F
181	F
182	F
183	F
184	F
185	F
186	F
187	F
188	F
189	F
190	M
191	M
192	M
193	M
194	M
195	M
196	M
197	M
198	M
199	M
200	F
201	F
202	F
203	F
204	F
205	F
206	F
207	F
208	F
209	F
210	M
211	M
212	M
213	M
214	M
215	M
216	M
217	M
218	M
219	M
220	F
221	F
222	F
223	F
224	F
225	F
226	F
227	F
228	F
229	F
230	M
231	M
232	M
233	M
234	M
235	M
236	M
237	M
238	M
239	M
240	F
241	F
242	F
243	F
244	F
245	F
246	F
247	F
248	F
249	F
250	M
251	M
252	M
253	M
254	M
255	M
256	M
257	M
258	M
259	M
260	F
261	F
262	F
263	F
264	F
265	F
266	F
267	F
268	F
269	F
270	M
271	M
272	M
273	M
274	M
275	M
276	M
277	M
278	M
279	M
280	F
281	F
282	F
283	F
284	F
285	F
286	F
287	F
288	F
289	F
290	M
291	M
292	M
293	M
294	M
295	M
296	M
297	M
298	M
299	M
300	F
301	F
302	F
303	F
304	F
305	F
306	F
307	F
308	F
309	F
310	M
311	M
312	M
313	M
314	M
315	M
316	M
317	M
318	M
319	M
320	F
321	F
322	F
323	F
324	F
325	F
326	F
327	F
328	F
329	F
330	M
331	M
332	M
333	M
334	M
335	M
336	M
337	M
338	M
339	M
340	F
341	F
342	F
343	F
344	F
345	F
346	F
347	F
348	F
349	F
350	M
351	M
352	M
353	M
354	M
355	M
356	M
357	M
358	M
359	M
360	F
361	F
362	F
363	F
364	F
365	F
366	F
367	F
368	F
369	F
370	M
371	M
372	M
373	M
374	M
375	M
376	M
377	M
378	M
379	M
380	F
381	F
382	F
383	F
384	F
385	F
386	F
387	F
388	F
389	F
390	M
391	M
392	M
393	M
394	M
395	M
396	M
397	M
398	M
399	M
400	F
401	F
402	F
403	F
404	F
405	F
406	F
407	F
408	F
409	F
410	M
411	M
412	M
413	M
414	M
415	M
416	M
417	M
418	M
419	M
420	F
421	F
422	F
423	F
424	F
425	F
426	F
427	F
428	F
429	F
430	M
431	M
432	M
433	M
434	M
435	M
436	M
437	M
438	M
439	M
440	F
441	F
442	F
443	F
444	F
445	F
446	F
447	F
448	F
449	F
450	M
451	M
452	M
453	M
454	M
455	M
456	M
457	M
458	M
459	M
460	F
461	F
462	F
463	F
464	F
465	F
466	F
467	F
468	F
469	F
470	M
471	M
472	M
473	M
474	M
475	M
476	M
477	M
478	M
479	M
480	F
481	F
482	F
483	F
484	F
485	F
486	F
487	F
488	F
489	F
490	M
491	M
492	M
493	M
494	M
495	M
496	M
497	M
498	M
499	M
500	F
501	F
502	F
503	F
504	F
505	F
506	F
507	F
508	F
509	F
510	M
511	M
512	M
513	M
514	M
515	M
516	M
517	M
518	M
519	M
520	F
521	F
522	F
523	F
524	F
525	F
526	F
527	F
528	F
529	F
530	M
531	M
532	M
533	M
534	M
535	M
536	M
537	M
538	M
539	M
540	F
541	F
542	F
543	F
544	F
545	F
546	F
547	F
548	F
549	F
550	M
551	M
552	M
553	M
554	M
555	M
556	M
557	M
558	M
559	M
560	F
561	F
562	F
563	F
564	F
565	F
566	F
567	F
568	F
569	F
570	M
571	M
572	M
573	M
574	M
575	M
576	M
577	M
578	M
579	M
580	F
581	F
582	F
583	F
584	F
585	F
586	F
587	F
588	F
589	F
590	M
591	M
592	M
593	M
594	M
595	M
596	M
597	M
598	M
599	M
600	F
601	F
602	F
603	F
604	F
605	F
606	F
607	F
608	F
609	F
610	M
611	M
612	M
613	M
614	M
615	M
616	M
617	M
618	M
619	M
620	F
621	F
622	F
623	F
624	F
625	F
626	F
627	F
628	F
629	F
630	M
631	M
632	M
633	M
634	M
635	M
636	M
637	M
638	M
639	M
640	F
641	F
642	F
643	F
644	F
645	F
646	F
647	F
648	F
649	F
650	M
651	M
652	M
653	M
654	M
655	M
656	M
657	M
658	M
659	M
660	F
661	F
662	F
663	F
664	F
665	F
666	F
667	F
668	F
669	F
670	M
671	M
672	M
673	M
674	M
675	M
676	M
677	M
678	M
679	M
680	F
681	F
682	F
683	F
684	F
685	F
686	F
687	F
688	F
689	F
690	M
691	M
692	M
693	M
694	M
695	M
696	M
697	M
698	M
699	M
700	F
701	F
702	F
703	F
704	F
705	F
706	F
707	F
708	F
709	F
710	M
711	M
712	M
713	M
714	M
715	M
716	M
717	M
718	M
719	M
720	F
721	F
722	F
723	F
724	F
725	F
726	F
727	F
728	F
729	F
730	M
731	M
732	M
733	M
734	M
735	M
736	M
737	M
738	M
739	M
740	F
741	F
742	F
743	F
744	F
745	F
746	F
747	F
748	F
749	F
750	M
751	M
752	M
753	M
754	M
755	M
756	M
757	M
758	M
759	M
760	F
761	F
762	F
763	F
764	F
765	F
766	F
767	F
768	F
769	F
770	M
771	M
772	M
773	M
774	M
775	M
776	M
777	M
778	M
779	M
780	F
781	F
782	F
783	F
784	F
785	F
786	F
787	F
788	F
789	F
790	M
791	M
792	M
793	M
794	M
795	M
796	M
797	M
798	M
799	M
800	F
801	F
802	F
803	F
804	F
805	F
806	F
807	F
808	F
809	F
810	M
811	M
812	M
813	M
814	M
815	M
816	M
817	M
818	M
819	M
820	F
821	F
822	F
823	F
824	F
825	F
826	F
827	F
828	F
829	F
830	M
831	M
832	M
833	M
834	M
835	M
836	M
837	M
838	M
839	M
840	F
841	F
842	F
843	F
844	F
845	F
846	F
847	F
848	F
849	F
850	M
851	M
852	M
853	M
854	M
855	M
856	M
857	M
858	M
859	M
860	F
861	F
862	F
863	F
864	F
865	F
866	F
867	F
868	F
869	F
870	M
871	M
872	M
873	M
874	M
875	M
876	M
877	M
878	M
879	M
880	F
881	F
882	F
883	F
884	F
885	F
886	F
887	F
888	F
889	F
890	M
891	M
892	M
893	M
894	M
895	M
896	M
897	M
898	M
899	M
900	F
901	F
902	F
903	F
904	F
905	F
906	F
907	F
908	F
909	F
910	M
911	M
912	M
913	M
914	M
915	M
916	M
917	M
918	M
919	M
920	F
921	F
922	F
923	F
924	F
925	F
926	F
927	F
928	F
929	F
930	M
931	M
932	M
933	M
934	M
935	M
936	M
937	M
938	M
939	M
940	F
941	F
942	F
943	F
944	F
945	F
946	F
947	F
948	F
949	F
950	M
951	M
952	M
953	M
954	M
955	M
956	M
957	M
958	M
959	M
960	F
961	F
962	F
963	F
964	F
965	F
966	F
967	F
968	F
969	F
970	M
971	M
972	M
973	M
974	M
975	M
976	M
977	M
978	M
979	M
980	F
981	F
982	F
983	F
984	F
985	F
986	F
987	F
988	F
989	F
990	M
991	M
992	M
993	M
994	M
995	M
996	M
997	M
998	M
999	M
1000	F
1001	F
1002	F
1003	F
1004	F
1005	F
1006	F
1007	F
1008	F
1009	F
1010	M
1011	M
1012	M
1013	M
1014	M
1015	M
1016	M
1017	M
1018	M
1019	M
1020	F
1021	F
1022	F
1023	F
1024	F
1025	F
1026	F
1027	F
1028	F
1029	F
1030	M
1031	M
1032	M
1033	M
1034	M
1035	M
1036	M
1037	M
1038	M
1039	M
1040	F
1041	F
1042	F
1043	F
1044	F
1045	F
1046	F
1047	F
1048	F
1049	F
1050	M
1051	M
1052	M
1053	M
1054	M
1055	M
1056	M
1057	M
1058	M
1059	M
1060	F
1061	F
1062	F
1063	F
1064	F
1065	F
1066	F
1067	F
1068	F
1069	F
1070	M
1071	M
1072	M
1073	M
1074	M
1075	M
1076	M
1077	M
1078	M
1079	M
1080	F
1081	F
1082	F
1083	F
1084	F
1085	F
1086	F
1087	F
1088	F
1089	F
1090	M
1091	M
1092	M
1093	M
1094	M
1095	M
1096	M
1097	M
1098	M
1099	M
1100	F
1101	F
1102	F
1103	F
1104	F
1105	F
1106	F
1107	F
1108	F
1109	F
1110	M
1111	M
1112	M
1113	M
1114	M
1115	M
1116	M
1117	M
1118	M
1119	M
1120	F
1121	F
1122	F
1123	F
1124	F
1125	F
1126	F
1127	F
1128	F
1129	F
1130	M
1131	M
1132	M
1133	M
1134	M
1135	M
1136	M
1137	M
1138	M
1139	M
1140	F
1141	F
1142	F
1143	F
1144	F
1145	F
1146	F
1147	F
1148	F
1149	F
1150	M
1151	M
1152	M
1153	M
1154	M
1155	M
1156	M
1157	M
1158	M
1159	M
1160	F
1161	F
1162	F
1163	F
1164	F
1165	F
1166	F
1167	F
1168	F
1169	F
1170	M
1171	M
1172	M
1173	M
1174	M
1175	M
1176	M
1177	M
1178	M
1179	M
1180	F
1181	F
1182	F
1183	F
1184	F
1185	F
1186	F
1187	F
1188	F
1189	F
1190	M
1191	M
1192	M
1193	M
1194	M
1195	M
1196	M
1197	M
1198	M
1199	M
1200	F
1201	F
1202	F
1203	F
1204	F
1205	F
1206	F
1207	F
1208	F
1209	F
1210	M
1211	M
1212	M
1213	M
1214	M
1215	M
1216	M
1217	M
1218	M
1219	M
1220	F
